Name,Mbh [10+5Msun],Msph [GMsun],E_Msph [Gmsun],e_Msph [GMsun]
UM 625                  ,16,5.4,    ,
SDSS J004042.10-110957.6,12.2,8.4,3.6,3.5
SDSS J024656.39-003304.8,5,2.57,    ,
SDSS J090613.75+561015.5,2.5,2.29,    ,
SDSS J095418.15+471725.1,0.8,1.32,    ,
SDSS J122342.82+581446.4,12.6,2.95,    ,
SDSS J122548.86+333248.7,1,1.26,    ,
SDSS J144012.70+024743.5,1.6,2.88,    ,
SDSS J085125.81+393541.7,2.5,2.57,    ,
SDSS J152637.36+065941.6,5,2.14,    ,
SDSS J153425.58+040806.6,1.3,1.32,    ,
SDSS J160531.84+174826.1,1.6,1.74,    ,
TON S180                ,71,24.2,10.4,10.4
RX J1117.1+6522         ,210,16.8,7.1,7.2
RX J1209.8+3217         ,54,18.4,7.8,7.9
IRAS F12397+3333        ,45,26.6,11.3,11.4
MRK 478                 ,269,66.7,28.6,28.6
RX J1702.5+3247         ,217,18.4,7.8,7.9
RX J2216.8-4451         ,167,60.8,26.1,26
RX J2217.9-5941         ,124,15.3,6.5,6.6
MS 2254.9-3712          ,39,9.64,4.2,4.1
MS 23409-1511           ,100,42.1,18,18.1
HE0045-2145             ,6,15.2,    ,
HE0103-5842             ,39.8,53.3,    ,
HE0224-2834             ,331,102,    ,
HE0253-1641             ,39.8,11.7,    ,
HE1310-1051             ,166,32.7,    ,
HE1338-1423             ,155,63.5,    ,
HE1348-1758             ,15.5,10.3,    ,
HE1417-0909             ,135,27.2,    ,
HE2128-0221             ,195,36.2,    ,
HE2129-3356             ,490,32.1,    ,
HE2204-3249             ,1000,164,    ,